#{"t_start": 1781084844.2619836, "env_id": "None"}
r,l,t
1.0,199,3.123893
-1.0,295,10.124332
-1.0,219,16.624495
-1.0,142,19.512631
1.0,199,23.846993
-1.0,270,28.962839
1.0,296,32.385484
-1.0,238,36.080508
1.0,299,42.91632
1.0,499,47.055255
-1.0,100,47.988136
1.0,77,48.685652
-1.0,296,55.923753
1.0,273,60.852213
-1.0,237,64.437514
-1.0,146,69.878877
1.0,363,75.285288
-1.0,242,80.324185
-1.0,201,84.06412
1.0,261,88.205603
1.0,499,103.425169
-1.0,217,105.197521
1.0,136,106.31704
1.0,157,107.843107
-1.0,251,114.93155
1.0,169,117.537
1.0,188,119.541676
-1.0,61,120.595654
1.0,237,123.669206
1.0,184,127.946523
1.0,177,129.932279
-1.0,264,134.114587
1.0,219,136.177125
1.0,197,140.534186
-1.0,270,145.545306
1.0,224,149.794147
1.0,196,152.616537
1.0,170,156.223152
1.0,197,159.603378
-1.0,270,163.502133
1.0,76,164.314072
-1.0,252,170.854105
-1.0,225,174.093717
1.0,66,174.868567
1.0,214,177.673571
1.0,219,182.244092
1.0,221,186.632787
-1.0,213,188.60402
1.0,191,192.14901
-1.0,211,194.894198
-1.0,203,199.836192
-1.0,199,203.055407
1.0,177,205.615541
-1.0,163,208.316556
-1.0,208,210.973266
1.0,183,214.188406
1.0,222,218.528144
-1.0,281,223.424419
1.0,355,229.299314
-1.0,241,234.556363
1.0,183,237.828684
1.0,213,239.914255
1.0,180,243.689027
1.0,152,245.490365
1.0,176,247.354189
-1.0,217,251.832866
-1.0,68,252.69587
1.0,174,254.936266
1.0,173,257.948309
1.0,222,261.585058
-1.0,177,263.355245
-1.0,186,267.651551
-1.0,232,272.83267
-1.0,282,278.716771
-1.0,197,281.2579
-1.0,419,293.520133
1.0,206,295.686619
-1.0,232,298.863518
1.0,262,304.536088
-1.0,269,308.237658
-1.0,197,311.986925
-1.0,179,316.458515
1.0,166,318.727248
1.0,87,319.439821
1.0,206,322.136086
1.0,257,325.151128
-1.0,272,331.277564
1.0,226,334.5496
1.0,408,341.51918
1.0,172,344.542187
1.0,260,350.253656
1.0,158,351.776378
1.0,499,356.9073
1.0,499,367.878657
1.0,286,372.417764
-1.0,226,378.424315
1.0,248,382.251622
-1.0,207,385.741149
-1.0,300,393.673226
1.0,170,395.219484
1.0,75,396.862814
-1.0,278,401.345542
1.0,233,406.549886
-1.0,171,409.02729
1.0,180,411.822953
1.0,205,413.790333
1.0,100,414.703954
1.0,154,416.171572
1.0,247,421.584311
1.0,161,423.698243
1.0,97,424.52809
-1.0,99,425.941487
1.0,270,430.673595
-1.0,234,436.605249
-1.0,250,439.640536
1.0,185,441.667317
-1.0,213,444.065
1.0,127,445.299157
1.0,198,450.308224
1.0,166,452.520406
-1.0,242,456.939489
-1.0,363,466.21422
1.0,163,468.024862
-1.0,171,470.046365
1.0,360,474.917109
-1.0,262,481.225479
-1.0,220,484.915699
1.0,193,487.987111
1.0,268,493.547437
-1.0,300,499.234645
1.0,157,501.196656
-1.0,233,505.63114
1.0,281,510.217543
-1.0,305,513.106905
1.0,202,515.854516
1.0,326,522.449685
1.0,176,524.307536
1.0,228,526.544626
-1.0,209,531.493438
-1.0,201,536.081236
1.0,227,540.116095
1.0,174,542.667309
1.0,243,545.476282
1.0,250,549.936062
1.0,129,552.391269
1.0,167,554.33375
1.0,161,556.749442
-1.0,154,558.712382
-1.0,169,562.116527
-1.0,192,566.635488
-1.0,272,570.153144
1.0,189,572.134396
1.0,218,575.618517
-1.0,174,580.619536
1.0,161,583.4667
1.0,296,588.278796
1.0,233,591.611616
-1.0,185,594.527085
1.0,279,600.759029
-1.0,262,604.49602
-1.0,241,610.508611
-1.0,185,613.117991
1.0,192,615.3301
-1.0,203,619.096115
1.0,142,620.265242
1.0,262,626.021332
1.0,124,627.449407
1.0,410,637.351866
-1.0,280,643.929029
-1.0,79,644.792184
1.0,259,648.240969
1.0,312,652.902077
1.0,109,654.642004
-1.0,123,656.20105
-1.0,303,662.473505
1.0,215,665.878263
1.0,151,669.571143
-1.0,217,672.706598
1.0,229,675.743798
-1.0,182,678.236065
-1.0,158,682.87061
1.0,199,685.06189
-1.0,166,687.857982
1.0,198,690.382666
-1.0,247,694.652618
1.0,264,699.259031
-1.0,252,702.017877
-1.0,242,706.539288
1.0,145,708.323343
-1.0,162,713.235929
1.0,254,715.614955
1.0,290,720.320468
1.0,204,723.070649
1.0,197,727.316528
-1.0,240,730.210925
1.0,178,732.178546
-1.0,220,734.369994
-1.0,216,739.444581
1.0,298,746.61806
-1.0,266,749.975935
-1.0,111,751.35016
-1.0,109,752.562512
1.0,324,759.127166
1.0,263,763.4447
-1.0,166,765.353215
1.0,278,771.973722
1.0,176,775.205317
-1.0,221,778.089298
1.0,217,782.31219
1.0,193,786.197067
1.0,249,788.539395
1.0,218,792.173374
1.0,101,793.601082
1.0,178,795.802652
-1.0,160,798.533711
1.0,145,801.195475
1.0,229,803.911959
1.0,190,806.604169
1.0,299,812.920928
-1.0,192,817.596075
-1.0,225,821.216656
-1.0,93,822.133912
-1.0,107,823.950583
-1.0,168,827.514048
1.0,187,831.280693
1.0,275,835.270935
1.0,124,836.416036
1.0,278,841.515384
-1.0,499,846.666465
1.0,318,851.639285
1.0,164,853.709931
1.0,165,856.635392
-1.0,215,861.655428
1.0,201,863.992973
1.0,245,866.950162
1.0,464,878.587711
-1.0,195,881.366225
-1.0,183,883.033269
1.0,166,887.03374
-1.0,145,889.181718
1.0,211,891.813824
1.0,203,893.808323
1.0,216,896.532596
-1.0,198,900.777994
-1.0,132,902.886528
1.0,214,906.358999
1.0,242,909.557583
1.0,174,911.278753
-1.0,189,915.316118
1.0,193,918.381057
1.0,281,923.011814
1.0,204,925.320918
-1.0,254,930.49442
1.0,348,937.358611
1.0,202,941.664655
1.0,231,946.294272
1.0,275,949.562042
-1.0,356,954.82548
1.0,348,961.70068
1.0,286,965.648312
1.0,373,971.017964
1.0,321,978.144219
1.0,189,980.366922
-1.0,244,986.365908
-1.0,225,991.725526
-1.0,152,993.368981
-1.0,165,997.314001
-1.0,170,999.093052
1.0,368,1005.65845
1.0,213,1008.428807
-1.0,207,1011.372437
-1.0,208,1014.396996
-1.0,267,1021.64172
-1.0,293,1028.173593
-1.0,170,1029.91814
1.0,194,1034.287933
1.0,263,1037.856165
1.0,122,1039.115578
-1.0,269,1043.57357
-1.0,181,1048.12894
-1.0,196,1052.053125
-1.0,296,1057.023073
-1.0,251,1062.518298
-1.0,196,1065.455555
-1.0,167,1067.735759
1.0,278,1072.052633
-1.0,240,1077.548177
1.0,189,1080.066183
-1.0,218,1083.831295
-1.0,218,1086.182587
1.0,268,1089.633605
-1.0,263,1093.807878
-1.0,295,1097.670776
1.0,186,1099.87955
1.0,288,1103.623053
-1.0,244,1107.760935
-1.0,247,1114.095988
-1.0,115,1115.221983
-1.0,183,1117.613008
-1.0,179,1120.836617
1.0,172,1123.800079
1.0,218,1125.876712
-1.0,286,1129.743379
1.0,160,1131.706733
-1.0,295,1139.106914
1.0,277,1143.954635
1.0,111,1145.67347
1.0,243,1151.184943
-1.0,334,1159.71035
-1.0,272,1164.962428
1.0,182,1167.924073
1.0,221,1172.212932
1.0,277,1176.29191
1.0,208,1181.084215
1.0,194,1183.29467
1.0,186,1186.643867
1.0,284,1191.407563
-1.0,187,1196.665134
1.0,386,1201.172902
1.0,251,1204.202866
-1.0,333,1213.209242
-1.0,122,1214.649092
-1.0,205,1217.290211
1.0,287,1226.133407
-1.0,280,1229.273506
-1.0,123,1230.75474
-1.0,159,1233.057327
1.0,270,1237.817582
1.0,234,1241.043036
1.0,350,1247.50719
-1.0,179,1249.723322
1.0,162,1253.077541
-1.0,152,1254.901596
-1.0,194,1257.537602
1.0,180,1259.750258
1.0,190,1261.89378
-1.0,412,1268.620471
-1.0,464,1278.789083
-1.0,222,1282.357751
1.0,256,1285.476648
1.0,154,1286.906363
-1.0,164,1289.503038
1.0,191,1291.403789
-1.0,282,1298.92074
-1.0,237,1302.813766
1.0,314,1309.73559
-1.0,314,1314.751366
1.0,204,1317.377403
1.0,222,1320.359319
1.0,222,1326.460012
1.0,281,1330.808711
1.0,304,1336.64707
-1.0,174,1341.004461
-1.0,212,1342.930968
1.0,326,1347.507787
1.0,231,1349.957399
1.0,189,1354.631775
1.0,255,1358.235288
-1.0,499,1362.795159
-1.0,143,1364.558581
-1.0,223,1368.63592
1.0,268,1374.443964
-1.0,229,1377.421041
-1.0,199,1381.784348
-1.0,283,1387.444013
1.0,200,1390.823627
-1.0,162,1393.265973
-1.0,256,1398.011154
-1.0,311,1404.034368
1.0,224,1407.40519
-1.0,208,1411.904278
1.0,209,1415.553516
-1.0,300,1420.092778
-1.0,464,1428.354249
1.0,164,1430.78836
1.0,173,1432.546306
-1.0,232,1437.246251
-1.0,247,1442.258383
1.0,150,1444.002549
-1.0,196,1445.980944
-1.0,228,1449.37308
-1.0,227,1453.205937
1.0,156,1456.452277
-1.0,183,1459.040459
-1.0,200,1462.435455
1.0,239,1466.006499
1.0,208,1468.602197
1.0,200,1472.157614
-1.0,212,1475.799884
1.0,270,1478.838618
1.0,486,1487.878771
-1.0,235,1490.451628
1.0,256,1493.794925
1.0,347,1501.764866
-1.0,181,1504.579789
1.0,213,1506.982306
1.0,214,1509.872247
-1.0,227,1515.722582
1.0,181,1517.963318
1.0,206,1520.35646
-1.0,307,1525.231535
1.0,289,1531.810647
1.0,281,1535.098902
1.0,243,1538.36248
1.0,290,1542.749944
1.0,196,1546.682984
1.0,188,1548.416036
-1.0,187,1550.086941
-1.0,189,1553.339786
-1.0,178,1557.071814
-1.0,245,1561.586507
-1.0,250,1565.452306
-1.0,204,1568.543431
1.0,317,1574.381495
1.0,153,1575.565351
-1.0,149,1577.417671
-1.0,200,1580.315536
-1.0,199,1583.637098
-1.0,203,1588.459377
1.0,189,1591.948107
1.0,184,1593.590182
-1.0,220,1597.458964
-1.0,263,1603.998069
1.0,324,1607.618404
-1.0,193,1609.955536
1.0,93,1611.103179
-1.0,138,1612.691512
-1.0,181,1615.515901
1.0,182,1619.257056
1.0,205,1622.808902
-1.0,223,1626.215757
1.0,225,1629.71567
-1.0,194,1634.002002
-1.0,290,1639.554142
-1.0,161,1641.832485
1.0,271,1648.671401
1.0,123,1649.761096
1.0,175,1652.253612
1.0,235,1654.562304
-1.0,155,1656.705558
1.0,188,1659.691961
-1.0,200,1663.64671
1.0,191,1665.615164
-1.0,281,1668.828354
1.0,260,1672.919742
1.0,171,1675.925524
1.0,172,1678.277425
-1.0,248,1682.859001
